text,created_at,author_id,likes,retweets,replies,text_cleaned,finbert_label,finbert_confidence
"$JTO

TP3: 0.35 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/ieWF6ffEGa",2026-02-19 01:42:01+00:00,,0,0,0,tp3 035 btc aapl join my private group below,neutral,0.6714076995849609
"Currency: BTC
Price: 66689.894(📉-0.40%)
High:  68468.96
Low:  65876.05
Vol.(24h):  $291693791.55 https://t.co/Qej7wmo0UL",2026-02-19 01:41:50+00:00,,0,0,0,currency btc price 66689894040 high 6846896 low 6587605 vol24h 55,neutral,0.5958461761474609
Maybe we were looking in the wrong place all along $BTC bros 😅 https://t.co/T0eQtBo4l3,2026-02-19 01:41:40+00:00,,18,0,6,maybe we were looking in the wrong place all along bros,neutral,0.7111039161682129
"$WLFI

TP2: 0.1210 ✅

$HYPE $USD $ASRR $LTC $USD $BTC $ETH $XRP $SOL $EOSE $OSCR $TTD $DUOL $APP
Join my private  group today below 👇https://t.co/FAv05YrTFP",2026-02-19 01:41:40+00:00,,0,0,0,tp2 01210 join my private group today below,neutral,0.7328755855560303
"$INIT PUMPED HARD

TP7: 0.10 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/OsVy8xPUCd",2026-02-19 01:41:37+00:00,,0,0,0,pumped hard tp7 010 btc aapl join my private group below,neutral,0.6784171462059021
Bitcoin in a hardware wallet + a second passport is the new dream. https://t.co/Z4F45BQuk5,2026-02-19 01:41:27+00:00,,125,17,45,bitcoin in a hardware wallet a second passport is the new dream,neutral,0.6909422278404236
"$BTC / $USD - Update 

Finally seeing the down move i wanted this morning come in. Bring on $65,000 minimum

JOIN OUR VIP TELEGRAM CHANNEL ⬇️
https://t.co/PCtVUuJeQh

$COAI $YGG $AOP 
$CUDIS $ADA $LINEA #FRANCE
 #helevier
#OlympiacosBC 
#USA #UK https://t.co/SNgfh0siEj",2026-02-19 01:41:24+00:00,,0,0,0,update finally seeing the down move i wanted this morning come in bring on 000 minimum join our vip telegram channel france helevier olympiacosbc usa uk,neutral,0.6386484503746033
"MTS Recovery - $BTC

Market Tension Score recovering from extreme lows (0.55).

Selling pressure may be exhausting. Early sign of potential stabilization.

Watch for price confirmation. Not financial advice. $btc #crypto https://t.co/tWzMFWfTbf",2026-02-19 01:41:23+00:00,,0,0,0,mts recovery market tension score recovering from extreme lows 055 selling pressure may be exhausting early sign of potential stabilization watch for price confirmation not financial advice crypto,neutral,0.6039562821388245
By hitting the button and countdown to 00:00! #BTCButton https://t.co/0a8mEiHNnQ,2026-02-19 01:41:23+00:00,,0,0,0,by hitting the button and countdown to 0000 btcbutton,neutral,0.6550300121307373
"There's still room for it to fall, and a lot more; time will tell.

#btc @AshCrypto @cryptorover https://t.co/5d8zNog0oc",2026-02-19 01:41:23+00:00,,0,0,0,theres still room for it to fall and a lot more time will tell btc,neutral,0.7497932314872742
"Still outperforming ETH and Bitcoin YTD
https://t.co/R3f6bh9VWs",2026-02-19 01:41:18+00:00,,0,0,0,still outperforming eth and bitcoin ytd,neutral,0.6584542989730835
"$XPIN

TP3: 0.0020 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/Gg2Jn0d7lx",2026-02-19 01:41:16+00:00,,0,0,0,tp3 00020 btc aapl join my private group below,neutral,0.6821155548095703
"Bitcoin can't find any plunging assets to correlate to -ZEROHEDGE-

Bitcoin decoupling from everything, but elites keep buying",2026-02-19 01:41:08+00:00,,6,1,0,bitcoin cant find any plunging assets to correlate to zerohedge bitcoin decoupling from everything but elites keep buying,neutral,0.70537930727005
"You don't need 5 more tools.

You need a command center.

Send your agents. Get your edge.

Vester: The investment command center where AI executes workflows you control.

$BTC $ETH $SOL

→ https://t.co/lqG0aEfeJf",2026-02-19 01:41:07+00:00,,0,0,0,you dont need 5 more tools you need a command center send your agents get your edge vester the investment command center where ai executes workflows you control,neutral,0.7523662447929382
Maybe we were looking in the wrong place all along $BTC bros 😅 https://t.co/9c4JlUp7kb,2026-02-19 01:41:05+00:00,,0,1,0,maybe we were looking in the wrong place all along bros,neutral,0.7111039161682129
"$GUN

TP1: 0.02785 ✅

$xrp $btc $fil $icp #iran $NFE
$TSLA $EOSE  $IREN $NBIS $RKLB $LMND $SOFI $AMZN $TEM $Gold $silver #Globeleza

Click below to Join  ⬇️ our channel
https://t.co/ufL54YIZXE",2026-02-19 01:41:02+00:00,,0,0,0,tp1 002785 iran globeleza click below to join our channel,neutral,0.6271728277206421
Maybe we were looking in the wrong place all along $BTC bros 😅,2026-02-19 01:40:56+00:00,,0,0,0,maybe we were looking in the wrong place all along bros,neutral,0.7111039161682129
"Bitcoin's drawdowns are getting smaller each cycle. 90% → 85% → 80% → 75%. 

If that trend holds, the next bear market bottom could be around a 70% drawdown from peak, which would land near key on-chain support zones.",2026-02-19 01:40:54+00:00,,1,0,0,bitcoins drawdowns are getting smaller each cycle 90 85 80 75 if that trend holds the next bear market bottom could be around a 70 drawdown from peak which would land near key onchain support zones,neutral,0.6981518864631653
"📉 $BTC Enters Oversold Territory on Key Chart

Bitcoin has reached an ""extremely oversold"" condition on the rainbow chart, according to technical analysis. https://t.co/KVsMQhdJwv",2026-02-19 01:40:54+00:00,,1,0,0,enters oversold territory on key chart bitcoin has reached an extremely oversold condition on the rainbow chart according to technical analysis,neutral,0.6996012330055237
"+$42,000 in one day

+$713,000 MTD

Trade Highlights:

$AMZN 207.5C +275%
$SPY 688C +250%
$NVDA 192.5C +50%

Total Return: +575%

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/VgkpE2vJ8J",2026-02-19 01:40:53+00:00,,0,0,0,000 in one day 000 mtd trade highlights 2075c 275 688c 250 1925c 50 total return 575 btc aapl join my private group below,neutral,0.6538282632827759
Everyone complains about Bitcoin's energy usage. Nobody talks about the 8x energy cost of training GPT-4. Both systems perform valuable computational work. The difference? Bitcoin's costs are priced into the system. AI companies hide theirs in VC funding and corporate balance,2026-02-19 01:40:43+00:00,,2,0,0,everyone complains about bitcoins energy usage nobody talks about the 8x energy cost of training gpt4 both systems perform valuable computational work the difference bitcoins costs are priced into the system ai companies hide theirs in vc funding and corporate balance,neutral,0.7528719305992126
"The Case Against Bitcoin:

Heist movies rule. 

Imagine never seeing Heat.",2026-02-19 01:40:37+00:00,,3,0,1,the case against bitcoin heist movies rule imagine never seeing heat,neutral,0.6317505240440369
"Publically done 100k-300k within a week… $btc

$TSLA $NVDA $LINK #Bitcoin #Altseason #Liquidity #Dubai #Singapore #Malta 

𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒 ⬇️
https://t.co/ufL54YIZXE https://t.co/pfw6HU651x",2026-02-19 01:40:32+00:00,,0,0,0,publically done 100k300k within a week bitcoin altseason liquidity dubai singapore malta 𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒,neutral,0.6761132478713989
"$SUI 🆕
SHORT
LEV 75x
ENTRY 0.9561

TP: 0.9425 - 0.9276 - 0.9088 - 0.8851 - 0.8611

SL : 0.9760

$xrp $btc $fil $icp #iran #usa #2025MAMA #NestleExtremeโคนเจนใหม่ #ZeeNuNew #الاهلي_القادسيه

Join my  group today below 👇
https://t.co/FAv05Ysrvn",2026-02-19 01:40:26+00:00,,0,0,0,short lev 75x entry 09561 tp 09425 09276 09088 08851 08611 sl 09760 iran usa 2025mama nestleextremeโคนเจนใหม zeenunew الاهلي_القادسيه join my group today below,neutral,0.7256473302841187
"🚨 LIQUIDATION: #BTCUSDT $BTC 🚀

A MASSIVE 0.2M$ SHORT position just got SQUEEZED at $67,012.80! 📈

Whales are moving. Someone is crying right now. Are you safe?

🔥 Don't trade blind. Check the Heatmap:
👉 https://t.co/cIVuS3cpm5

#Bitcoin #Crypto #Trading #Liquidation",2026-02-19 01:40:23+00:00,,1,0,0,liquidation btcusdt a massive 02m short position just got squeezed at 01280 whales are moving someone is crying right now are you safe dont trade blind check the heatmap bitcoin crypto trading liquidation,neutral,0.6477830410003662
"Eric Trump: Based on historical average annual growth rate of 70%, Bitcoin will reach $1 million 🚀",2026-02-19 01:40:11+00:00,,0,0,0,eric trump based on historical average annual growth rate of 70 bitcoin will reach million,neutral,0.7148942351341248
"$3500 for 1Billion $Pepe.

We all know what happens next 🚀

$TSLA $NVDA $LINK #Bitcoin #Altseason #Liquidity #Dubai #Singapore #Malta 

𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒 ⬇️
https://t.co/ufL54YIZXE https://t.co/j4GAai4Jmh",2026-02-19 01:40:07+00:00,,0,0,0,for 1billion we all know what happens next bitcoin altseason liquidity dubai singapore malta 𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒,neutral,0.6992124319076538
"$BTC / $USD - Update 

A sweep to $65,300 is coming. And that is where i will be looking for a bounce to come in to long. Right now, bears do want to give us that sweep

JOIN OUR VIP TELEGRAM CHANNEL ⬇️
https://t.co/PCtVUuJeQh

$COAI $YGG $AOP 
$CUDIS $ADA $LINEA #FRANCE
 #helev https://t.co/ulWFxCfuZR",2026-02-19 01:40:01+00:00,,0,0,0,update a sweep to 300 is coming and that is where i will be looking for a bounce to come in to long right now bears do want to give us that sweep join our vip telegram channel france helev,neutral,0.7173178195953369
"Don't fade the next bullish rally 

We are going $250K-$300K per #Bitcoin https://t.co/gLlJpAJ9Ws",2026-02-19 01:40:00+00:00,,8,1,0,dont fade the next bullish rally we are going per bitcoin,neutral,0.7031963467597961
"#Bitcoin is extremely weak 

Feels like we're going lower, especially if a war starts breaking out 

Too many threats

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/4tZF2uKHOS",2026-02-19 01:39:48+00:00,,0,0,0,bitcoin is extremely weak feels like were going lower especially if a war starts breaking out too many threats btc aapl join my private group below,neutral,0.7293120622634888
"NOW: 🇺🇸 Arizona’s SB1649, creating a state-run crypto reserve holding XRP, BTC, and more, cleared the Senate Finance Committee and now heads to the Rules Committee https://t.co/TrR5GJW42k",2026-02-19 01:39:47+00:00,,0,0,0,now arizonas sb1649 creating a staterun crypto reserve holding xrp btc and more cleared the senate finance committee and now heads to the rules committee,neutral,0.7016415596008301
"Dollar is weak. Bitcoin is selling off. Stocks are flat. Gold is soaring. Where did all the dollars go — and why gold right now? People have been calling for a recession since 2021 and it hasn't shown up. Unemployment, inflation, fed rates — nothing screams crisis. So is gold",2026-02-19 01:39:41+00:00,,0,0,0,dollar is weak bitcoin is selling off stocks are flat gold is soaring where did all the dollars go and why gold right now people have been calling for a recession since 2021 and it hasnt shown up unemployment inflation fed rates nothing screams crisis so is gold,neutral,0.6920105814933777
"🚀 Crypto Update

 Market eyes regulatory clarity as Clarity Act odds spike 70–90% probability signals strong potential for 2026

 A clear path for stablecoins + market structure  bullish environment for $BTC DeFi and institutional capital💸

#Crypto #Bitcoin #DeFi #ClarityAct",2026-02-19 01:39:28+00:00,,7,2,2,crypto update market eyes regulatory clarity as clarity act odds spike 7090 probability signals strong potential for 2026 a clear path for stablecoins market structure bullish environment for defi and institutional capital crypto bitcoin defi clarityact,neutral,0.6266165375709534
"$BEAT WILL DO 1$ SOON 🚀

$TSLA $NVDA $LINK #Bitcoin #Altseason #Liquidity #Dubai #Singapore #Malta 

𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒 ⬇️
https://t.co/ufL54YIZXE https://t.co/WhT0uKVJ2x",2026-02-19 01:39:27+00:00,,1,1,1,will do 1 soon bitcoin altseason liquidity dubai singapore malta 𝐉𝐎𝐈𝐍 𝐅𝐎𝐑 𝐌𝐎𝐑𝐄 𝐒𝐈𝐆𝐍𝐀𝐋𝐒,neutral,0.6884403824806213
In case you've ever wondered what it looks like inside a Bitcoin miner: https://t.co/vWMA6gFhmG,2026-02-19 01:39:23+00:00,,1,0,0,in case youve ever wondered what it looks like inside a bitcoin miner,neutral,0.6673144102096558
"$ESP

TP3: 0.077 ✅

$HYPE $USD $ASRR $LTC $USD $BTC $ETH $XRP $SOL $EOSE $OSCR $TTD $DUOL $APP
Join my private  group today below 👇https://t.co/FAv05YrTFP https://t.co/eHFAsCJlDk",2026-02-19 01:39:21+00:00,,0,0,0,tp3 0077 join my private group today below,neutral,0.7178590297698975
"$HAEDAL buy @ 0.02950

TP: 0.05

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6",2026-02-19 01:39:21+00:00,,0,0,0,buy 002950 tp 005 btc aapl join my private group below,neutral,0.6798341274261475
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbncjf",2026-02-20 01:42:39+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
👍 on @YouTube: WHY I'M MORE BULLISH THAN EVER ON BITCOIN - IT'S TIME TO BUY! https://t.co/0thh0XmiH7,2026-02-20 01:42:38+00:00,,0,0,0,on why im more bullish than ever on bitcoin its time to buy,neutral,0.7140988707542419
"BTC is holding a key support as trading volumes climb 📈. Market eyes a breakout amid Bitcoin ETF optimism. Watching closely with @inversebrah and @mdudas for moves that could lift $SOL and broader sentiment 🚀

#Crypto #CryptoMarket https://t.co/j4OAcie3ec",2026-02-20 01:42:36+00:00,,2,0,0,btc is holding a key support as trading volumes climb market eyes a breakout amid bitcoin etf optimism watching closely with and for moves that could lift and broader sentiment crypto cryptomarket,neutral,0.5976889729499817
$BTC good for higher if next 4 hour closes above 67.2. Otherwise expect 64 next. Big spot. https://t.co/OXtC1Vre4g,2026-02-20 01:42:30+00:00,,4,1,1,good for higher if next 4 hour closes above 672 otherwise expect 64 next big spot,neutral,0.598292887210846
"Nvidia finalizing $30B OpenAI stake while pension-usdt.eth deploys $85M into BTC/ETH longs same week

Compute infrastructure capital flows and proven wallet positioning converging before earnings isn't coincidence it's coordinated pre-positioning on AI demand thesis",2026-02-20 01:42:28+00:00,,0,0,0,nvidia finalizing openai stake while pensionusdteth deploys into btceth longs same week compute infrastructure capital flows and proven wallet positioning converging before earnings isnt coincidence its coordinated prepositioning on ai demand thesis,neutral,0.6469457745552063
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbjfj",2026-02-20 01:42:26+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbmck",2026-02-20 01:42:22+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"Binance Futures, BingX Futures, Bitget Futures, BloFin Futures

#CLO/USDT Stop Target Hit ⛔
Loss: 55.7674% 📉

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6",2026-02-20 01:42:21+00:00,,0,0,0,binance futures bingx futures bitget futures blofin futures clousdt stop target hit loss 557674 btc aapl join my private group below,neutral,0.6315118670463562
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdb fn",2026-02-20 01:42:14+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007 fn,neutral,0.5857253670692444
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdb.fn",2026-02-20 01:42:09+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007 fn,neutral,0.5857253670692444
"Bitcoin: Why THESE signals point to $60K as BTC’s cycle low

https://t.co/JSefIqYos9",2026-02-20 01:42:08+00:00,,1,0,0,bitcoin why these signals point to as btcs cycle low,neutral,0.7065279483795166
HOLY FUCK BTC IS PUMPING https://t.co/8rHqKTaTxt,2026-02-20 01:42:06+00:00,,5,0,1,holy fuck btc is pumping,neutral,0.687203049659729
"Vitalik Buterin emphasized the ""robustness of Ethereum's jurisdictional decentralization"" in response to US regulatory tightening. Michael Saylor reaffirmed Bitcoin as ""the only institutional-grade digital property,"" suggesting that stablecoin yield disclosures will eventually",2026-02-20 01:42:05+00:00,,1,0,0,vitalik buterin emphasized the robustness of ethereums jurisdictional decentralization in response to us regulatory tightening michael saylor reaffirmed bitcoin as the only institutionalgrade digital property suggesting that stablecoin yield disclosures will eventually,neutral,0.6786419749259949
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbncnc",2026-02-20 01:42:04+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"ramil palafox got 20 years for running a $200 million bitcoin ponzi scheme. 90,000 investors. promised 0.5-3% daily returns. spent the money on gucci, cartier, and 20 luxury cars

the entry point for every scam is the same: returns that sound too good to be true. because they",2026-02-20 01:42:00+00:00,,0,0,0,ramil palafox got 20 years for running a million bitcoin ponzi scheme 90000 investors promised 053 daily returns spent the money on gucci cartier and 20 luxury cars the entry point for every scam is the same returns that sound too good to be true because they,neutral,0.7613089680671692
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbncn",2026-02-20 01:42:00+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"AIPAC + SIBs = Deep State 
One wants war and the other wants debt. The alliance is deep state.   An unholy alliance. Epstein files reveal the truth. Bitcoin provides an exit.",2026-02-20 01:41:59+00:00,,0,0,0,aipac sibs deep state one wants war and the other wants debt the alliance is deep state an unholy alliance epstein files reveal the truth bitcoin provides an exit,neutral,0.6932998895645142
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbnd",2026-02-20 01:41:56+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbbd",2026-02-20 01:41:52+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5836513042449951
"#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdb d",2026-02-20 01:41:48+00:00,,0,0,0,xauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007 d,neutral,0.580542266368866
"J#XAUUSD  SELL NOW  4997 _5003

 We are considering  SELLING $XAUUSD 

~Target 1: 4989
~Target 2: 4983
~Target 3: 4978
~Target 4: 4963
~Target 5: 4858

https://t.co/kqqGNJleuB
SL 5007

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $dhdbnf",2026-02-20 01:41:43+00:00,,0,0,1,jxauusd sell now 4997 _5003 we are considering selling target 1 4989 target 2 4983 target 3 4978 target 4 4963 target 5 4858 sl 5007,neutral,0.5778288245201111
"$Fartcoin is very smart AI. It is the first coin te know when Crypto goes down or when there are bad news. It reacts always first evern before #Bitcoin self.

$BTC #Ethereum $ETH #Solana $Sol $XRP $ADA #Crypto $BNB #Coinbase #HTX #Bybit #Binance https://t.co/i6zwL6RhEh",2026-02-20 01:41:42+00:00,,2,0,0,is very smart ai it is the first coin te know when crypto goes down or when there are bad news it reacts always first evern before bitcoin self ethereum solana crypto coinbase htx bybit binance,neutral,0.6981545686721802
White House Seeks Path for Stablecoin Rewards in Key Bill https://t.co/OZycialvKv #cryptonews #cryptocurrencynews #crypto #bitcoin,2026-02-20 01:41:37+00:00,,0,0,0,white house seeks path for stablecoin rewards in key bill cryptonews cryptocurrencynews crypto bitcoin,neutral,0.6628147959709167
Bitcoin is being very resilient at this range 💯 bears are in disbelief and whales are becoming shrimps. Higher 🚀 https://t.co/Y2henDkEHX,2026-02-20 01:41:34+00:00,,35,1,10,bitcoin is being very resilient at this range bears are in disbelief and whales are becoming shrimps higher,neutral,0.7452763915061951
By hitting the button and countdown to 00:00! #BTCButton https://t.co/2dM0IuFw4e,2026-02-20 01:41:32+00:00,,0,0,0,by hitting the button and countdown to 0000 btcbutton,neutral,0.6550300121307373
